accuracy,alignment_gap,alignment_negative_cosine,alignment_positive_cosine,best_val_macro_f1,experiment,macro_f1,q1_f1,q1_precision,q1_recall,q1_support,q2_f1,q2_precision,q2_recall,q2_support,q3_f1,q3_precision,q3_recall,q3_support,q4_f1,q4_precision,q4_recall,q4_support,retrieval_a2l_median_rank,retrieval_a2l_r1,retrieval_a2l_r10,retrieval_a2l_r5,retrieval_l2a_median_rank,retrieval_l2a_r1,retrieval_l2a_r10,retrieval_l2a_r5,run_id,seed,split,stage,test_evaluated,wall_seconds,weighted_f1,lambda_align,temperature,lambda_uni,gradient_strategy,affect_aware,cspa
0.822289156626506,0.20563380420207977,0.027991946786642075,0.23362575471401215,0.8122256212097414,cspa_affect,0.8122256212097414,0.8192771084337349,0.7906976744186046,0.85,80,0.909952606635071,0.8495575221238938,0.9795918367346939,98,0.7647058823529411,0.8813559322033898,0.6753246753246753,77,0.7549668874172185,0.7702702702702703,0.7402597402597403,77,42.0,0.027108434587717056,0.15963855385780334,0.08132530003786087,41.0,0.0150602413341403,0.15060241520404816,0.06927710771560669,final_cspa_affect_seed3407,3407,validation,final_seed,False,90.87483668327332,0.8184708656543314,0.2,0.07,0.4575708941376109,scalarization,True,True
0.7951807228915663,0.2503741681575775,-0.002388930879533291,0.24798524379730225,0.78356119108842,cspa_affect,0.78356119108842,0.7866666666666666,0.8428571428571429,0.7375,80,0.909952606635071,0.8495575221238938,0.9795918367346939,98,0.7034482758620689,0.75,0.6623376623376623,77,0.7341772151898734,0.7160493827160493,0.7532467532467533,77,41.0,0.024096384644508362,0.1867469847202301,0.09638553857803345,45.0,0.027108434587717056,0.17469879984855652,0.09337349236011505,final_cspa_affect_seed42,42,validation,final_seed,False,118.79509139060974,0.7915838903450899,0.2,0.07,0.4575708941376109,scalarization,True,True
0.8012048192771084,0.18111692368984222,0.04647812619805336,0.22759504616260529,0.7917543771192145,cspa_affect,0.7917543771192145,0.8023255813953488,0.75,0.8625,80,0.9128205128205128,0.9175257731958762,0.9081632653061225,98,0.7468354430379747,0.7283950617283951,0.7662337662337663,77,0.7050359712230215,0.7903225806451613,0.6363636363636364,77,47.0,0.009036144241690636,0.14156626164913177,0.0632530152797699,53.0,0.0150602413341403,0.13554216921329498,0.0662650614976883,final_cspa_affect_seed777,777,validation,final_seed,False,73.71237897872925,0.7995076977895628,0.2,0.07,0.4575708941376109,scalarization,True,True
0.8162650602409639,0.16544348001480103,0.03387925773859024,0.19932273030281067,0.8059557588958506,cspa_only,0.8059557588958506,0.8402366863905325,0.797752808988764,0.8875,80,0.9246231155778895,0.9108910891089109,0.9387755102040817,98,0.7172413793103448,0.7647058823529411,0.6753246753246753,77,0.7417218543046358,0.7567567567567568,0.7272727272727273,77,39.0,0.012048192322254181,0.15963855385780334,0.10542168468236923,38.0,0.021084336563944817,0.16566264629364014,0.06927710771560669,final_cspa_only_seed123,123,validation,final_seed,False,68.24407815933228,0.8137715940549075,0.2,0.07,0.4575708941376109,scalarization,False,True
0.8162650602409639,0.17508447170257568,0.030669741332530975,0.20575420558452606,0.8019934381179772,cspa_only,0.8019934381179772,0.8520710059171598,0.8089887640449438,0.9,80,0.9359605911330049,0.9047619047619048,0.9693877551020408,98,0.7329192546583851,0.7023809523809523,0.7662337662337663,77,0.6870229007633588,0.8333333333333334,0.5844155844155844,77,39.0,0.01807228848338127,0.1807228922843933,0.07228915393352509,43.0,0.03313253074884415,0.16566264629364014,0.09939759224653244,final_cspa_only_seed2026,2026,validation,final_seed,False,78.71411085128784,0.8109197722044624,0.2,0.07,0.4575708941376109,scalarization,False,True
0.8012048192771084,0.1893412470817566,0.02300666831433773,0.21234790980815887,0.7904853105528067,cspa_only,0.7904853105528067,0.8089887640449438,0.7346938775510204,0.9,80,0.9137055837563451,0.9090909090909091,0.9183673469387755,98,0.71875,0.9019607843137255,0.5974025974025974,77,0.7204968944099379,0.6904761904761905,0.7532467532467533,77,39.0,0.01807228848338127,0.16867469251155853,0.09337349236011505,41.0,0.01807228848338127,0.17469879984855652,0.09036144614219666,final_cspa_only_seed3407,3407,validation,final_seed,False,86.78712701797485,0.7984465638592847,0.2,0.07,0.4575708941376109,scalarization,False,True
0.8012048192771084,0.20354261994361877,0.017715925350785255,0.22125855088233948,0.7894172765330939,cspa_only,0.7894172765330939,0.8421052631578947,0.7912087912087912,0.9,80,0.9045226130653267,0.8910891089108911,0.9183673469387755,98,0.6814814814814815,0.7931034482758621,0.5974025974025974,77,0.7295597484276729,0.7073170731707317,0.7532467532467533,77,39.0,0.01807228848338127,0.1807228922843933,0.07831325381994247,38.0,0.0301204826682806,0.15662650763988495,0.09036144614219666,final_cspa_only_seed42,42,validation,final_seed,False,84.22135734558105,0.7971741320362605,0.2,0.07,0.4575708941376109,scalarization,False,True
0.8012048192771084,0.21818718314170837,0.04870022088289261,0.2668873965740204,0.790442871875149,cspa_only,0.790442871875149,0.8284023668639053,0.7865168539325843,0.875,80,0.9230769230769231,0.9278350515463918,0.9183673469387755,98,0.6917293233082706,0.8214285714285714,0.5974025974025974,77,0.718562874251497,0.6666666666666666,0.7792207792207793,77,34.0,0.024096384644508362,0.1837349385023117,0.09939759224653244,35.0,0.0150602413341403,0.21385541558265686,0.11445783078670502,final_cspa_only_seed777,777,validation,final_seed,False,86.65896224975586,0.7991753825986536,0.2,0.07,0.4575708941376109,scalarization,False,True
0.7560240963855421,,,,0.7463237559608724,lyrics_only,0.7463237559608724,0.7239263803680982,0.7108433734939759,0.7375,80,0.8934010152284264,0.8888888888888888,0.8979591836734694,98,0.6871165644171779,0.6511627906976745,0.7272727272727273,77,0.6808510638297872,0.75,0.6233766233766234,77,,,,,,,,,final_lyrics_only_seed123,123,validation,final_seed,False,31.358364582061768,0.7554244496893071,0.2,0.07,0.4575708941376109,scalarization,False,False
0.7319277108433735,,,,0.7196224399463514,lyrics_only,0.7196224399463514,0.6829268292682927,0.6666666666666666,0.7,80,0.8844221105527639,0.8712871287128713,0.8979591836734694,98,0.6787878787878788,0.6363636363636364,0.7272727272727273,77,0.6323529411764706,0.7288135593220338,0.5584415584415584,77,,,,,,,,,final_lyrics_only_seed2026,2026,validation,final_seed,False,35.263617515563965,0.7297149286532807,0.2,0.07,0.4575708941376109,scalarization,False,False
0.7379518072289156,,,,0.722373606227839,lyrics_only,0.722373606227839,0.711864406779661,0.6494845360824743,0.7875,80,0.9045226130653267,0.8910891089108911,0.9183673469387755,98,0.6106870229007634,0.7407407407407407,0.5194805194805194,77,0.6624203821656051,0.65,0.6753246753246753,77,,,,,,,,,final_lyrics_only_seed3407,3407,validation,final_seed,False,36.52739667892456,0.7338001169062809,0.2,0.07,0.4575708941376109,scalarization,False,False
0.7349397590361446,,,,0.7183525357695973,lyrics_only,0.7183525357695973,0.6909090909090909,0.6705882352941176,0.7125,80,0.8909952606635071,0.831858407079646,0.9591836734693877,98,0.6428571428571429,0.7142857142857143,0.5844155844155844,77,0.6486486486486487,0.676056338028169,0.6233766233766234,77,,,,,,,,,final_lyrics_only_seed42,42,validation,final_seed,False,36.60276699066162,0.7290247251918582,0.2,0.07,0.4575708941376109,scalarization,False,False
0.713855421686747,,,,0.7031562909826481,lyrics_only,0.7031562909826481,0.64,0.6857142857142857,0.6,80,0.8865979381443299,0.8958333333333334,0.8775510204081632,98,0.6626506024096386,0.6179775280898876,0.7142857142857143,77,0.6233766233766234,0.6233766233766234,0.6233766233766234,77,,,,,,,,,final_lyrics_only_seed777,777,validation,final_seed,False,29.64917755126953,0.714188838324357,0.2,0.07,0.4575708941376109,scalarization,False,False
0.8162650602409639,0.2309221774339676,0.03983919322490692,0.2707613706588745,0.8059103287779759,multimodal_cagrad,0.8059103287779759,0.8295454545454546,0.7604166666666666,0.9125,80,0.91,0.8921568627450981,0.9285714285714286,98,0.725925925925926,0.8448275862068966,0.6363636363636364,77,0.7581699346405228,0.7631578947368421,0.7532467532467533,77,31.0,0.024096384644508362,0.22289156913757324,0.11445783078670502,31.0,0.027108434587717056,0.21686747670173645,0.1325301229953766,final_multimodal_cagrad_seed123,123,validation,final_seed,False,96.72049260139465,0.8127078844194365,0.2,0.07,0.4575708941376109,cagrad,False,False
0.8042168674698795,0.23592031002044678,0.033182449638843536,0.2691027522087097,0.7954180888963498,multimodal_cagrad,0.7954180888963498,0.7837837837837838,0.8529411764705882,0.725,80,0.9082125603864735,0.8623853211009175,0.9591836734693877,98,0.7567567567567568,0.7887323943661971,0.7272727272727273,77,0.7329192546583851,0.7023809523809523,0.7662337662337663,77,35.0,0.01807228848338127,0.21385541558265686,0.10843373835086823,35.0,0.03313253074884415,0.1867469847202301,0.10240963846445084,final_multimodal_cagrad_seed2026,2026,validation,final_seed,False,104.35710310935974,0.8024475496974188,0.2,0.07,0.4575708941376109,cagrad,False,False
